p_type,s_type,s_id,name,writable,type,unit
electrical_equipment,electric_energy,0,energy,false,int,w
electrical_equipment,electric_energy,0,energy_cumulative,false,int,Wh
electrical_equipment,power_switch,0,value,true,boolean,
air_condition_el,electric_energy,0,energy,false,int,w
air_condition_el,electric_energy,0,energy_cumulative,false,int,Wh
air_condition_el,power_switch,0,value,true,boolean,
air_condition_el,user_settings,0,operation_mode,true,enum,
air_condition_el,user_settings,0,target_temperature,true,float,degree_c
air_condition_el,user_settings,0,power_saving_mode,true,enum,
air_condition_el,air_flow_rate,0,value,true,enum,
air_condition_el,room_temperature,0,temperature,false,float,degree_c
electrical_meter,electric_energy,0,energy,false,int,w
electrical_meter,electric_energy,0,energy_cumulative,false,float,kWh
electrical_meter,installation_location,0,type,true,enum,
electrical_meter,fault_status,0,value,false,enum,
two_way_meter,electric_energy,0,energy,false,int,w
two_way_meter,electric_energy,0,energy_cumulative,false,float,kWh
two_way_meter,electric_energy,1,energy,false,int,w
two_way_meter,electric_energy,1,energy_cumulative,false,float,kWh
two_way_meter,installation_location,0,type,true,enum,
two_way_meter,fault_status,0,value,false,enum,
